journal,issn,category_publindex,year_publindex
Acta Pharmacologica Sinica,1671-4083,A1,2017
Acta Pharmacologica Sinica,1745-7254,A1,2017
Acta Physiologica,1748-1708,A1,2017
Acta Physiologica,1748-1716,A1,2017
Acta Politica,0001-6810,A1,2017
Acta Polytechnica Hungarica,1785-8860,A1,2017
Acta Psychiatrica Scandinavica,0001-690X,A1,2017
Acta Psychiatrica Scandinavica,1600-0447,A1,2017
Acta Psychologica,0001-6918,A1,2017
Acta Radiologica,0284-1851,A1,2017
Acta Radiologica,1600-0455,A1,2017
Acta Scientiarum - Agronomy,1679-9275,A1,2017
Acta Sociologica,0001-6993,A1,2017
Acta Sociologica,1502-3869,A1,2017
Active Learning in Higher Education,1469-7874,A1,2017
Active Learning in Higher Education,1741-2625,A1,2017
Acupuncture in Medicine,0964-5284,A1,2017
Ad Hoc Networks,1570-8705,A1,2017
Addiction,0965-2140,A1,2017
Addiction Biology,1355-6215,A1,2017
Addiction Biology,1369-1600,A1,2017
Addiction Science & Clinical Practice,1940-0632,A1,2017
Addiction Science & Clinical Practice,1940-0640,A1,2017
Addictive Behaviors,0306-4603,A1,2017
Additive Manufacturing,2214-8604,A1,2017
ADHD Attention Deficit and Hyperactivity Disorders,1866-6116,A1,2017
ADHD Attention Deficit and Hyperactivity Disorders,1866-6647,A1,2017
Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,A1,2017
Administration and Policy in Mental Health and Mental Health Services Research,1573-3289,A1,2017
Administration and Society,0095-3997,A1,2017
Administrative Science Quarterly,0001-8392,A1,2017
Adsorption,0929-5607,A1,2017
Adsorption,1572-8757,A1,2017
Advanced Composite Materials,0924-3046,A1,2017
Advanced Composite Materials,1568-5519,A1,2017
Advanced Drug Delivery Reviews,0169-409X,A1,2017
Advanced Electronic Materials,2199-160X,A1,2017
Advanced Energy Materials,1614-6832,A1,2017
Advanced Energy Materials,1614-6840,A1,2017
Advanced Engineering Informatics,1474-0346,A1,2017
Advanced Engineering Materials,1438-1656,A1,2017
Advanced Engineering Materials,1527-2648,A1,2017
Advanced Functional Materials,1616-301X,A1,2017
Advanced healthcare materials,2192-2640,A1,2017
Advanced healthcare materials,2192-2659,A1,2017
Advanced Materials,0935-9648,A1,2017
Advanced Materials Interfaces,2196-7350,A1,2017
Advanced Nonlinear Studies,1536-1365,A1,2017
Advanced Optical Materials,2195-1071,A1,2017
Advanced Pharmaceutical Bulletin,2228-5881,A1,2017
Advanced Pharmaceutical Bulletin,2251-7308,A1,2017
Advanced Powder Technology,0921-8831,A1,2017
Advanced Powder Technology,1568-5527,A1,2017
Advanced Science,2198-3844,A1,2017
Advanced Synthesis and Catalysis,1615-4150,A1,2017
Advances in Agronomy,0065-2113,A1,2017
Advances in Anatomic Pathology,1072-4109,A1,2017
Advances in Anatomic Pathology,1533-4031,A1,2017
Advances in Applied Ceramics,1743-6753,A1,2017
Advances in Applied Mechanics,0065-2156,A1,2017
Advances in Applied Microbiology,0065-2164,A1,2017
Advances in Applied Probability,0001-8678,A1,2017
Advances in Applied Probability,1475-6064,A1,2017
"Advances in Atomic, Molecular and Optical Physics",1049-250X,A1,2017
Advances in Biological Regulation,2212-4926,A1,2017
Advances in Biological Regulation,2212-4934,A1,2017
Advances in Building Energy Research,1751-2549,A1,2017
Advances in Building Energy Research,1756-2201,A1,2017
Advances in Calculus of Variations,1864-8258,A1,2017
Advances in Cancer Research,0065-230X,A1,2017
Advances in Catalysis,0360-0564,A1,2017
Advances in Chronic Kidney Disease,1548-5595,A1,2017
Advances in Clinical Chemistry,0065-2423,A1,2017
Advances in Colloid and Interface Science,0001-8686,A1,2017
Advances in Complex Systems,0219-5259,A1,2017
Advances in Data Analysis and Classification,1862-5347,A1,2017
Advances in Data Analysis and Classification,1862-5355,A1,2017
Advances in Differential Equations,1079-9389,A1,2017
Advances in Ecological Research,0065-2504,A1,2017
Advances in Engineering Software,0965-9978,A1,2017
Advances in Experimental Medicine and Biology,0065-2598,A1,2017
Advances in Experimental Social Psychology,0065-2601,A1,2017
Advances in Genetics,0065-2660,A1,2017
Advances in Geophysics,0065-2687,A1,2017
Advances in Group Processes,0882-6145,A1,2017
Advances in Health Sciences Education,1382-4996,A1,2017
Advances in Health Sciences Education,1573-1677,A1,2017
Advances in Heterocyclic Chemistry,0065-2725,A1,2017
Advances in Immunology,0065-2776,A1,2017
Advances in Inorganic Chemistry,0898-8838,A1,2017
Advances in Inorganic Chemistry,1557-8917,A1,2017
Advances in Insect Physiology,0065-2806,A1,2017
Advances in Life Course Research,1040-2608,A1,2017
Advances in Marine Biology,0065-2881,A1,2017
Advances in Mathematics,0001-8708,A1,2017
Advances in Mathematics,1090-2082,A1,2017
Advances in Microbial Physiology,0065-2911,A1,2017
Advances in Neurobiology,2190-5215,A1,2017
Advances in Nonlinear Analysis,2191-9496,A1,2017
Advances in Nonlinear Analysis,2191-950X,A1,2017
"Advances in nutrition (Bethesda, Md.)",2161-8313,A1,2017
"Advances in nutrition (Bethesda, Md.)",2156-5376,A1,2017
Advances in Optics and Photonics,1943-8206,A1,2017
Advances in Organometallic Chemistry,0065-3055,A1,2017
Advances in Parasitology,0065-308X,A1,2017
Advances in Pharmacological Sciences,1687-6334,A1,2017
Advances in Pharmacological Sciences,1687-6342,A1,2017
Advances in Pharmacology,1054-3589,A1,2017
Advances in Physics,0001-8732,A1,2017
Advances in Physics,1460-6976,A1,2017
Advances in Polymer Science,0065-3195,A1,2017
Advances in Positive Organizational Psychology,2046-410X,A1,2017
Advances in Positive Organizational Psychology,2046-4118,A1,2017
Advances in School Mental Health Promotion,1754-730X,A1,2017
Advances in School Mental Health Promotion,2049-8535,A1,2017
Advances in Strategic Management,0742-3322,A1,2017
Advances in the History of Rhetoric,1536-2426,A1,2017
Advances in the History of Rhetoric,1936-0835,A1,2017
Advances in the Study of Behavior,0065-3454,A1,2017
Advances in Theoretical and Mathematical Physics,1095-0761,A1,2017
Advances in Therapy,0741-238X,A1,2017
Advances in Virus Research,0065-3527,A1,2017
Advances in Water Resources,0309-1708,A1,2017
AEJ - Alexandria Engineering Journal,1110-0168,A1,2017
Aeolian Research,1875-9637,A1,2017
Aerosol and Air Quality Research,1680-8584,A1,2017
Aerosol Science and Technology,0278-6826,A1,2017
Aerosol Science and Technology,1521-7388,A1,2017
Aerospace Science and Technology,1270-9638,A1,2017
AES: Journal of the Audio Engineering Society,1549-4950,A1,2017
Aesthetic Surgery Journal,1090-820X,A1,2017
Aesthetic Surgery Journal,1527-330X,A1,2017
Aevum - Rassegna di Scienze Storiche Linguistiche e Filologiche,0001-9593,A1,2017
Aevum - Rassegna di Scienze Storiche Linguistiche e Filologiche,1827-787X,A1,2017
Africa,0001-9720,A1,2017
African Affairs,0001-9909,A1,2017
African Affairs,1468-2621,A1,2017
African American Review,1062-4783,A1,2017
African Archaeological Review,0263-0338,A1,2017
African Arts,0001-9933,A1,2017
African Arts,1937-2108,A1,2017
African Diaspora,1872-5457,A1,2017
African Studies Review,0002-0206,A1,2017
Afrika Spectrum,0002-0397,A1,2017
Age,0161-9152,A1,2017
Age,1574-4647,A1,2017
Age and Ageing,0002-0729,A1,2017
Age and Ageing,1468-2834,A1,2017
Ageing and Society,0144-686X,A1,2017
Ageing and Society,1469-1779,A1,2017
Ageing Research Reviews,1568-1637,A1,2017
Aggression and Violent Behavior,1359-1789,A1,2017
Aggressive Behavior,0096-140X,A1,2017
Aggressive Behavior,1098-2337,A1,2017
Aging,1594-0667,A1,2017
Aging,1945-4589,A1,2017
Aging,1720-8319,A1,2017
Aging and Disease,2152-5250,A1,2017
Aging and Mental Health,1360-7863,A1,2017
Aging and Mental Health,1364-6915,A1,2017
Aging Cell,1474-9718,A1,2017
Agribusiness,0742-4477,A1,2017
Agribusiness,1520-6297,A1,2017
Agricultural and Food Science,1459-6067,A1,2017
Agricultural and Forest Entomology,1461-9555,A1,2017
Agricultural and Forest Entomology,1461-9563,A1,2017
Agricultural and Forest Meteorology,0168-1923,A1,2017
Agricultural Economics,0169-5150,A1,2017
Agricultural Economics (Czech Republic),0139-570X,A1,2017
Agricultural Economics (Czech Republic),1805-9295,A1,2017
Agricultural Systems,0308-521X,A1,2017
Agricultural Systems,1873-2267,A1,2017
Agricultural Water Management,0378-3774,A1,2017
Agriculture and Human Values,0889-048X,A1,2017
Agriculture and Human Values,1572-8366,A1,2017
"Agriculture, Ecosystems and Environment",0167-8809,A1,2017
Agronomy for Sustainable Development,1774-0746,A1,2017
Agronomy for Sustainable Development,1773-0155,A1,2017
Agronomy Journal,0002-1962,A1,2017
Agronomy Journal,1435-0645,A1,2017
Agypten und Levante,1015-5104,A1,2017
AIAA Journal,0001-1452,A1,2017
AIAA Journal,1533-385X,A1,2017
AICHE Journal,0001-1541,A1,2017
AICHE Journal,1547-5905,A1,2017
AIDS,0269-9370,A1,2017
AIDS and Behavior,1090-7165,A1,2017
AIDS and Behavior,1573-3254,A1,2017
AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,0954-0121,A1,2017
AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,1360-0451,A1,2017
AIDS Education and Prevention,0899-9546,A1,2017
AIDS Patient Care and STDs,1087-2914,A1,2017
AIDS Research and Treatment,2090-1240,A1,2017
AIDS Research and Treatment,2090-1259,A1,2017
AIDS Reviews,1139-6121,A1,2017
AIDS Reviews,1698-6997,A1,2017
Ain Shams Engineering Journal,2090-4479,A1,2017
"Air Quality, Atmosphere and Health",1873-9318,A1,2017
"Air Quality, Atmosphere and Health",1873-9326,A1,2017
Alcohol,0741-8329,A1,2017
Alcohol and Alcoholism,0735-0414,A1,2017
Alcohol and Alcoholism,1464-3502,A1,2017
Alcohol research : current reviews,2168-3492,A1,2017
Alcohol research : current reviews,2169-4796,A1,2017
Alcoholism: Clinical and Experimental Research,0145-6008,A1,2017
Alcoholism: Clinical and Experimental Research,1530-0277,A1,2017
Aldrichimica Acta,0002-5100,A1,2017
Algal Research,2211-9264,A1,2017
Algebra and Number Theory,1937-0652,A1,2017
Algebraic and Geometric Topology,1472-2739,A1,2017
Algebraic and Geometric Topology,1472-2747,A1,2017
Algebras and Representation Theory,1386-923X,A1,2017
Algebras and Representation Theory,1572-9079,A1,2017
Algorithmica,0178-4617,A1,2017
Algorithmica,1432-0541,A1,2017
Algorithms for Molecular Biology,1748-7188,A1,2017
Alimentary Pharmacology and Therapeutics,0269-2813,A1,2017
Allergy and Asthma Proceedings,1088-5412,A1,2017
Allergy and Asthma Proceedings,1539-6304,A1,2017
Allergy: European Journal of Allergy and Clinical Immunology,0105-4538,A1,2017
Allergy: European Journal of Allergy and Clinical Immunology,1398-9995,A1,2017
Alpine and Mediterranean Quaternary,2279-7327,A1,2017
Alpine and Mediterranean Quaternary,2279-7335,A1,2017
Alpine Botany,1664-2201,A1,2017
ALTEX : Alternativen zu Tierexperimenten,1868-596X,A1,2017
ALTEX : Alternativen zu Tierexperimenten,0946-7785,A1,2017
Alzheimer Disease and Associated Disorders,0893-0341,A1,2017
Alzheimer Disease and Associated Disorders,1546-4156,A1,2017
Alzheimer's and Dementia,1552-5260,A1,2017
Alzheimer's and Dementia,1552-5279,A1,2017
Alzheimer's Research and Therapy,1758-9193,A1,2017
Ambio,0044-7447,A1,2017
America Latina Hoy,1130-2887,A1,2017
American Anthropologist,0002-7294,A1,2017
American Anthropologist,0364-9873,A1,2017
American Antiquity,0002-7316,A1,2017
American Behavioral Scientist,0002-7642,A1,2017
American Catholic Philosophical Quarterly,1051-3558,A1,2017
American Catholic Philosophical Quarterly,2153-8441,A1,2017
American Economic Journal: Applied Economics,1945-7782,A1,2017
American Economic Journal: Applied Economics,1945-7790,A1,2017
American Economic Journal: Economic Policy,1945-7731,A1,2017
American Economic Journal: Economic Policy,1945-774X,A1,2017
American Economic Journal: Macroeconomics,1945-7707,A1,2017
American Economic Journal: Macroeconomics,1945-7715,A1,2017
American Economic Journal: Microeconomics,1945-7669,A1,2017
American Economic Journal: Microeconomics,1945-7685,A1,2017
American Economic Review,0002-8282,A1,2017
American Educational Research Journal,0002-8312,A1,2017
American Ethnologist,0094-0496,A1,2017
American Health and Drug Benefits,1942-2962,A1,2017
American Heart Journal,0002-8703,A1,2017
American Heart Journal,1097-6744,A1,2017
American Historical Review,0002-8762,A1,2017
American Indian and Alaska Native Mental Health Research,0893-5394,A1,2017
American Journal of Agricultural Economics,0002-9092,A1,2017
American Journal of Archaeology,0002-9114,A1,2017
American Journal of Audiology,1059-0889,A1,2017
AMERICAN JOURNAL OF BIOETHICS,1526-5161,A1,2017
American Journal of Botany,0002-9122,A1,2017
American Journal of Botany,1537-2197,A1,2017
American Journal of Cardiology,0002-9149,A1,2017
American Journal of Chinese Medicine,0192-415X,A1,2017
American Journal of Clinical Dermatology,1175-0561,A1,2017
American Journal of Clinical Nutrition,0002-9165,A1,2017
American Journal of Clinical Pathology,0002-9173,A1,2017
American Journal of Clinical Pathology,1943-7722,A1,2017
American Journal of Community Psychology,0091-0562,A1,2017
American Journal of Community Psychology,1573-2770,A1,2017
American Journal of Criminal Justice,1066-2316,A1,2017
American Journal of Criminal Justice,1936-1351,A1,2017
American Journal of Critical Care,1062-3264,A1,2017
American Journal of Drug and Alcohol Abuse,0095-2990,A1,2017
American Journal of Drug and Alcohol Abuse,1097-9891,A1,2017
American Journal of Education,0195-6744,A1,2017
American Journal of Education,1549-6511,A1,2017
American Journal of Enology and Viticulture,0002-9254,A1,2017
American Journal of Epidemiology,0002-9262,A1,2017
American Journal of Epidemiology,1476-6256,A1,2017
American Journal of Evaluation,1098-2140,A1,2017
American Journal of Gastroenterology,0002-9270,A1,2017
American Journal of Gastroenterology,1572-0241,A1,2017
American Journal of Geriatric Psychiatry,1064-7481,A1,2017
American Journal of Geriatric Psychiatry,1545-7214,A1,2017
American Journal of Health Behavior,1087-3244,A1,2017
American Journal of Health Promotion,0890-1171,A1,2017
American Journal of Hematology,0361-8609,A1,2017
American Journal of Hematology,1096-8652,A1,2017
American Journal of Human Biology,1042-0533,A1,2017
American Journal of Human Biology,1520-6300,A1,2017
American Journal of Human Genetics,0002-9297,A1,2017
American Journal of Human Genetics,1537-6605,A1,2017
American Journal of Hypertension,0895-7061,A1,2017
American Journal of Industrial Medicine,0271-3586,A1,2017
American Journal of Industrial Medicine,1097-0274,A1,2017
American Journal of Infection Control,0196-6553,A1,2017
American Journal of International Law,0002-9300,A1,2017
American Journal of Kidney Diseases,0272-6386,A1,2017
American Journal of Kidney Diseases,1523-6838,A1,2017
American Journal of Managed Care,1088-0224,A1,2017
American Journal of Managed Care,1096-1860,A1,2017
American Journal of Managed Care,1936-2692,A1,2017
American Journal of Mathematical and Management Sciences,0196-6324,A1,2017
American Journal of Mathematics,0002-9327,A1,2017
American Journal of Mathematics,1080-6377,A1,2017
American Journal of Medical Genetics - Seminars in Medical Genetics,1552-4868,A1,2017
American Journal of Medical Genetics - Seminars in Medical Genetics,1552-4876,A1,2017
"American Journal of Medical Genetics, Part B, Neuropsychiatric Genetics",1552-4841,A1,2017
"American Journal of Medical Genetics, Part B, Neuropsychiatric Genetics",1552-485X,A1,2017
American Journal of Medicine,0002-9343,A1,2017
American Journal of Mens Health,1557-9883,A1,2017
American Journal of Nephrology,0250-8095,A1,2017
American Journal of Nephrology,1421-9670,A1,2017
American Journal of Neuroradiology,0195-6108,A1,2017
AMERICAN JOURNAL OF NURSING,0002-936X,A1,2017
American Journal of Obstetrics and Gynecology,0002-9378,A1,2017
American Journal of Obstetrics and Gynecology,1097-6868,A1,2017
American Journal of Occupational Therapy,0272-9490,A1,2017
American Journal of Ophthalmology,0002-9394,A1,2017
American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,A1,2017
American Journal of Orthodontics and Dentofacial Orthopedics,1097-6752,A1,2017
American Journal of Orthopsychiatry,0002-9432,A1,2017
American Journal of Pathology,0002-9440,A1,2017
American Journal of Pathology,1525-2191,A1,2017
American Journal of Perinatology,0735-1631,A1,2017
American Journal of Perinatology,1098-8785,A1,2017
American Journal of Pharmaceutical Education,0002-9459,A1,2017
American Journal of Pharmaceutical Education,1553-6467,A1,2017
American Journal of Philology,0002-9475,A1,2017
American Journal of Physical Anthropology,0002-9483,A1,2017
American Journal of Physical Anthropology,1096-8644,A1,2017
American Journal of Physical Medicine and Rehabilitation,0894-9115,A1,2017
American Journal of Physiology - Cell Physiology,0363-6143,A1,2017
American Journal of Physiology - Cell Physiology,1522-1563,A1,2017
American Journal of Physiology - Endocrinology and Metabolism,0193-1849,A1,2017
American Journal of Physiology - Endocrinology and Metabolism,1522-1555,A1,2017
American Journal of Physiology - Gastrointestinal and Liver Physiology,0193-1857,A1,2017
American Journal of Physiology - Gastrointestinal and Liver Physiology,1522-1547,A1,2017
American Journal of Physiology - Heart and Circulatory Physiology,0363-6135,A1,2017
American Journal of Physiology - Heart and Circulatory Physiology,1522-1539,A1,2017
American Journal of Physiology - Lung Cellular and Molecular Physiology,1040-0605,A1,2017
American Journal of Physiology - Lung Cellular and Molecular Physiology,1522-1504,A1,2017
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,0363-6119,A1,2017
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,1522-1490,A1,2017
American Journal of Physiology - Renal Physiology,1931-857X,A1,2017
American Journal of Physiology - Renal Physiology,0363-6127,A1,2017
American Journal of Political Science,0092-5853,A1,2017
American Journal of Political Science,1540-5907,A1,2017
American Journal of Preventive Medicine,0749-3797,A1,2017
American Journal of Primatology,0275-2565,A1,2017
American Journal of Primatology,1098-2345,A1,2017
American Journal of Psychiatry,0002-953X,A1,2017
American Journal of Public Health,0090-0036,A1,2017
American Journal of Public Health,1541-0048,A1,2017
American Journal of Reproductive Immunology,1046-7408,A1,2017
American Journal of Respiratory and Critical Care Medicine,1073-449X,A1,2017
American Journal of Respiratory and Critical Care Medicine,1535-4970,A1,2017
American Journal of Respiratory Cell and Molecular Biology,1044-1549,A1,2017
American Journal of Respiratory Cell and Molecular Biology,1535-4989,A1,2017
American Journal of Rhinology & Allergy,1945-8924,A1,2017
American Journal of Rhinology & Allergy,1945-8932,A1,2017
American Journal of Roentgenology,0361-803X,A1,2017
American Journal of Roentgenology,1546-3141,A1,2017
American Journal of Science,0002-9599,A1,2017
American Journal of Sociology,0002-9602,A1,2017
American Journal of Sociology,1537-5390,A1,2017
American Journal of Speech-Language Pathology,1058-0360,A1,2017
American Journal of Sports Medicine,0363-5465,A1,2017
American Journal of Surgery,0002-9610,A1,2017
American Journal of Surgical Pathology,0147-5185,A1,2017
American Journal of Translational Research,1943-8141,A1,2017
American Journal of Transplantation,1600-6135,A1,2017
American Journal of Transplantation,1600-6143,A1,2017
American Journal of Tropical Medicine and Hygiene,0002-9637,A1,2017
American Journal of Veterinary Research,0002-9645,A1,2017
American Journal on Addictions,1055-0496,A1,2017
American Journal on Addictions,1521-0391,A1,2017
American journal on intellectual and developmental disabilities,1944-7515,A1,2017
American journal on intellectual and developmental disabilities,1944-7558,A1,2017
American Law and Economics Review,1465-7252,A1,2017
American Literary History,0896-7148,A1,2017
American Literary History,1468-4365,A1,2017
American Literature,0002-9831,A1,2017
American Museum Novitates,0003-0082,A1,2017
American Naturalist,0003-0147,A1,2017
American Naturalist,1537-5323,A1,2017
American Philosophical Quarterly,0003-0481,A1,2017
American Political Science Review,0003-0554,A1,2017
American Political Science Review,1537-5943,A1,2017
American Politics Research,1532-673X,A1,2017
American Psychologist,0003-066X,A1,2017
American Psychologist,1935-990X,A1,2017
American quarterly,0003-0678,A1,2017
American quarterly,1080-6490,A1,2017
American Review of Public Administration,0275-0740,A1,2017
American Scientist,0003-0996,A1,2017
American Society of Clinical Oncology educational book / ASCO. American Society of Clinical Oncology. Meeting,1548-8756,A1,2017
American Sociological Review,0003-1224,A1,2017
Amino Acids,0939-4451,A1,2017
Amino Acids,1438-2199,A1,2017
Amphibia - Reptilia,0173-5373,A1,2017
Amphibia - Reptilia,1568-5381,A1,2017
Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of,1350-6129,A1,2017
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-8421,A1,2017
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-9223,A1,2017
Anaesthesia,0003-2409,A1,2017
Anaesthesia,1365-2044,A1,2017
Anais da Academia Brasileira de Ciencias,0001-3765,A1,2017
Anais da Academia Brasileira de Ciencias,1678-2690,A1,2017
Analysis,0003-2638,A1,2017
Analysis,1467-8284,A1,2017
Analysis and Applications,0219-5305,A1,2017
Analysis and Metaphysics,1584-8574,A1,2017
Analysis and PDE,1948-206X,A1,2017
Analysis and PDE,2157-5045,A1,2017
Analytic Methods in Accident Research,2213-6657,A1,2017
Analytica Chimica Acta,0003-2670,A1,2017
Analytical and Bioanalytical Chemistry,1618-2642,A1,2017
Analytical and Bioanalytical Chemistry,1618-2650,A1,2017
Analytical Chemistry,0003-2700,A1,2017
Analytical Chemistry,1520-6882,A1,2017
Analytical Methods,1759-9660,A1,2017
Analytical Methods,1759-9679,A1,2017
Anatolian Studies,0066-1546,A1,2017
Anatolica,0066-1554,A1,2017
Anatolica,1875-6654,A1,2017
